,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
406,CD63,2056.035167,0.583289224,0.705308203,0.826999064,0.408237592,0.81749926
407,TNI3K,26.82879869,-0.108172822,0.251697808,-0.429772604,0.667361063,0.937803842
408,TNI3K,9.921091904,-1.501290442,0.611035873,-2.456959579,0.014011845,0.209954959
409,TNI3K,89.79220172,0.332514961,0.158447606,2.098579894,0.03585395,0.315814154
410,MASU1,15.62284981,-0.289240621,0.736407117,-0.392772713,0.69448736,0.947943102
411,MASU1,24.0871882,-0.902964286,0.550489321,-1.64029392,0.100944069,0.489240249
412,DMTF1,84.15697743,0.368661047,0.595880385,0.61868297,0.536125231,0.883846089
413,DMTF1,93.00949133,-0.699460417,0.659464429,-1.060649196,0.288849356,0.726799552
414,DMTF1,9.083709389,0.82153611,0.76659557,1.07166822,0.28386908,0.723249047
415,OX2R,14.11402354,1.230429614,0.514551573,2.391265868,0.016790389,0.226963354
416,OX2R,25.48230249,0.277948258,0.261518494,1.062824483,0.287861554,0.725892209
417,XIAP,183.6200731,-0.364839197,0.245588675,-1.485570115,0.137392865,0.55227143
418,UBP3,293.3935464,0.0286752,0.107740969,0.266149449,0.790124113,0.975210025
419,ACHA7,213.1563809,-0.297979473,0.151309211,-1.969341268,0.048913915,0.36133529
420,PCDG4,1086.936191,0.090815352,0.124228496,0.731034785,0.464757906,0.84886538
421,VF259,7.998565764,0.824236514,0.66400841,1.241304329,0.214493346,0.652025528
422,VF259,4.354275771,0.360818515,0.90934813,0.396788099,0.691523728,0.947073417
423,PPAL,21.02566427,0.350701069,0.25073691,1.398681469,0.161908524,0.588122065
424,PPAL,1.466702427,3.332763191,1.456487038,2.288220289,0.022124696,0.257813667
425,KBRS1,101.0972159,-0.06435854,0.195933354,-0.32847159,0.742555122,0.963874164
426,KBRS2,2.522805525,-0.100787017,1.816013283,-0.055499053,0.955740884,0.997132192
427,NIPA,178.0234383,0.314057668,0.155957686,2.013736399,0.044037216,0.343677527
428,AT1B1,711.2372461,0.20674676,0.142012841,1.455831449,0.14543922,0.565665238
429,MED4,120.9659538,-0.157766026,0.212032729,-0.744064498,0.456837456,0.846048819
430,ZC3HE,135.0410582,-0.009861009,0.134671115,-0.073222899,0.941628745,0.995507377
