,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
6799,NUCL,234.1042288,-0.248666695,0.155403354,-1.600137244,0.10956814,0.502146781
6800,GVIN1,66.31955954,-7.171089191,2.526106382,-2.838791447,0.004528474,0.122458857
6801,DUS1B,116.6808236,0.149544737,0.21104686,0.708585461,0.478581761,0.857677018
6802,PTPRM,69.79769223,0.132255163,0.136318478,0.970192483,0.331950557,0.762155253
6803,PTPRM,7.687549017,0.62035084,0.588719206,1.053729576,0.292006744,0.729269579
6804,PTH2,4.996951573,-0.797742945,0.996161317,-0.800817028,0.42323758,0.826308937
6805,PTH2,0.712428113,-0.501848176,2.385316237,-0.210390626,0.833362808,0.980372959
6806,PTH2,80.17878136,-0.32450154,0.243837993,-1.330807949,0.183252212,0.616576361
6807,OBSCN,45.13305421,-0.045481546,0.429785488,-0.105823829,0.91572213,0.994113427
6808,TTC9C,0.526014188,-2.662361363,3.778212519,-0.704661622,0.48102084,0.858606557
6809,TTC9C,9.095488468,-0.289135289,0.365357359,-0.791376667,0.428724222,0.830375252
6810,MLRP1,0.147188571,1.16375822,3.800173538,0.306238178,0.759423306,0.967552951
6811,MLRP1,0.573039696,-0.22322874,2.12457537,-0.105069815,0.916320411,0.99432187
6812,Y7407,43.43229273,0.300179649,0.222871522,1.346873058,0.17802112,0.60960324
6813,AOFA,16.24770723,-0.274136449,0.304693694,-0.899711595,0.368273751,0.788220339
6814,K319L,131.4092961,0.668101766,0.308950427,2.162488568,0.030580537,0.295941951
6815,K319L,79.3287657,-0.453577823,0.587528728,-0.772009608,0.440108737,0.837510873
6816,K319L,119.6257694,0.259636228,0.370398871,0.700963875,0.48332556,0.859421496
6817,CERK1,3.110316575,-4.804451263,1.940529142,-2.475845974,0.013292091,0.20526578
6818,CERK1,117.0000739,0.181211752,0.223899221,0.809345165,0.418316634,0.823641597
6819,SULF1,42.86474776,0.210382643,0.374918523,0.561142302,0.574700532,0.900531686
6820,SULF1,119.6022482,-0.753743055,0.245741971,-3.06721336,0.002160646,0.081900561
6821,CPT1A,125.8757487,-0.014269718,0.23566742,-0.060550238,0.951717405,0.996252979
6822,DEN10,80.61086801,-0.133887907,0.18433689,-0.726321831,0.467641499,0.850812385
6823,RNF13,292.8981115,0.149083708,0.159193881,0.936491451,0.349020212,0.7763086
6824,SC6A5,52.23180153,-0.567337928,0.616539991,-0.920196477,0.357470095,0.781322609
6825,AGK,1.342846329,0.121609606,2.519804939,0.048261516,0.961507825,0.998024047
6826,AGK,2.119174489,0.421348567,1.612133134,0.2613609,0.793814207,0.976180705
6827,AGK,43.94656412,-0.174043741,0.235779482,-0.738163217,0.460415272,0.847193916
6828,ITA5,0.083186038,0.200266435,3.801740735,0.052677562,0.957988817,0.997132192
6829,PDE,79.72227462,-0.080357228,0.265584688,-0.302567249,0.762219677,0.968208508
6830,PDE,0.583534003,-0.029049837,2.391434764,-0.012147451,0.990307975,0.998211455
6831,SYT9,27.99968338,-0.087144041,0.21490982,-0.405491201,0.685116485,0.944449348
6832,FAAH2,350.4131933,-0.002407755,0.119272211,-0.020187058,0.983894152,0.998211455
6833,GRIA2,1.935200078,-1.581426976,0.960947887,-1.645694837,0.099826603,0.486258466
6834,ORCT,9.170063406,-0.389017647,0.326047316,-1.193132492,0.232817488,0.672790721
6835,EXD2,74.83587074,-0.278442162,0.20082799,-1.386470888,0.165603164,0.594358733
6836,BAKOR,36.84401652,0.225111237,0.17828518,1.262646943,0.20671609,0.643550382
6837,NAGAB,99.84689736,0.095599526,0.170799866,0.559716634,0.575672735,0.901128321
6838,KLF11,8.734705283,1.44317172,0.875994961,1.647465778,0.099462345,0.485444411
6839,KLF11,124.1368477,0.060426314,0.344122909,0.17559515,0.860612013,0.984408274
6840,KLF11,37.24469404,3.413695013,1.165088723,2.929987174,0.00338976,0.106209213
6841,THIO,324.0506884,-0.128382935,0.189500498,-0.677480729,0.498100993,0.866492296
6842,CHM2B,353.1298901,0.117522145,0.110571856,1.062857669,0.287846502,0.725892209
6843,GIMA1,87.2151727,-0.14413239,0.229028037,-0.629322035,0.529138248,0.881724706
6844,VDR,3.885864265,0.603490237,0.508256329,1.187373776,0.235080219,0.675547954
6845,ACHA7,0.801365607,0.961457586,1.047382167,0.917962532,0.358638482,0.781868168
6846,ERPG3,4.927988869,-1.216324163,0.830584087,-1.464420257,0.143079156,0.56183372
6847,CUBN,137.7780068,-0.036520623,0.178849983,-0.204196958,0.838199588,0.980372959
6848,EXTL3,41.25962877,0.306054887,0.268296808,1.140732495,0.25398126,0.693030666
6849,WDR64,357.9735495,0.284697627,0.133381201,2.134465917,0.032804661,0.304061395
6850,WDR64,117.7453276,0.221250412,0.266472639,0.830293172,0.406373048,0.816756335
6851,CANB1,199.2093441,0.147373304,0.131442552,1.121199345,0.262203018,0.700565107
6852,OAR1,1.96532658,-0.999404405,0.566678953,-1.763616593,0.077796552,0.441104823
6853,TOLL,6.623389549,-0.296259276,0.591538629,-0.500828283,0.616491979,0.920450288
6854,C2D1A,223.7917335,0.057726358,0.123930119,0.465797649,0.641360348,0.928082065
6855,PHP14,385.500837,-0.103077831,0.153754436,-0.670405574,0.502599282,0.868054046
6856,CI072,90.41358149,-0.225481631,0.122657376,-1.838304712,0.066017517,0.412883024
6857,MINY2,43.83883712,-0.536766401,0.232558119,-2.308095729,0.020993813,0.251763189
6858,LYSM2,7.381924631,-0.524475993,0.592387456,-0.88535972,0.37596265,0.792805113
6859,LYSM2,27.68378952,0.486868067,0.326277595,1.492189698,0.135649422,0.549066457
6860,GP158,1.594321063,0.43567018,0.872313266,0.499442342,0.617467796,0.921061693
6861,SZT2,117.3243795,0.078902083,0.220896623,0.357190083,0.720949509,0.956453852
6862,SZT2,36.48107384,0.075793076,0.255963675,0.296108721,0.767147054,0.969644539
6863,CYSK,83.90785247,-0.115275101,0.122390386,-0.941864024,0.346262261,0.77507231
6864,SPR,0.770413128,-0.697367969,0.85008572,-0.820350175,0.412016511,0.819397113
6865,WRN,6.416361102,2.396446269,1.133279048,2.114612701,0.03446297,0.311428993
6866,WRN,7.654532139,2.183112977,1.101293195,1.982317686,0.047443696,0.355573527
6867,TCPG,261.6644621,-0.164362648,0.129478312,-1.269422236,0.20429051,0.640831428
6868,CLA1B,336.9670674,-0.010766276,0.255193005,-0.042188757,0.966348225,0.998211455
6869,CLAP1,166.7615836,0.00971149,0.202220209,0.04802433,0.961696853,0.998024047
6870,CLAP1,24.35182971,6.677599546,2.307638079,2.893694469,0.003807384,0.113648401
6871,LNPB,14.85974358,0.257017632,0.37319172,0.688701325,0.491011242,0.863374794
6872,5HT2A,24.95614724,0.273079183,0.619342169,0.440918117,0.659272277,0.934605577
6873,5HT2A,11.93913096,1.02796139,1.522405281,0.675221903,0.499534793,0.867027969
6874,AL8A1,33.91140994,0.282365718,0.479979119,0.588287504,0.556339331,0.892662576
6875,AL8A1,92.39863031,0.214000608,0.358675839,0.596640714,0.550747283,0.88908184
6876,PRPF3,17.27086834,2.46523396,2.812729303,0.876456173,NA,NA
6877,PRPF3,324.6532658,-0.16604254,0.120034393,-1.383291369,0.166575543,0.595006744
6878,KI21A,1.665201309,0.408296647,0.852665577,0.478847344,0.632047233,0.925448953
6879,KI21A,105.6267282,0.092120102,0.293814992,0.313530979,0.753877289,0.967311843
6880,ALG5,34.16765432,-0.108729792,0.252329567,-0.430903889,0.666538255,0.937742731
6881,ALG5,5.587925226,-0.418818475,0.713388034,-0.587083683,0.557147505,0.892836084
6882,CSN5,168.1904282,-0.296309168,0.137073231,-2.161685142,0.030642454,0.295941951
6883,KCNAW,136.7515986,-0.087927586,0.184888956,-0.475569706,0.634380962,0.926114194
6884,C97D2,13.50547114,-3.639175229,1.908838371,-1.906486838,NA,NA
6885,PIF1,0.041749149,-0.040183086,3.801740735,-0.010569654,0.991566793,0.998211455
6886,CLC10,1.807681635,0.056247758,1.679812194,0.033484552,0.973288185,0.998211455
6887,CLC10,4.524534779,0.613538001,0.982762867,0.624299128,0.532431156,0.882498823
6888,CLC10,4.335535855,0.206182326,1.340279572,0.153835312,0.877739591,0.987492894
6889,POL3,0.679858033,-0.697966658,2.794452633,-0.249768649,0.802766266,0.977412294
6890,POL3,0.07021493,0.440706573,3.801740735,0.115922311,0.907714113,0.990571706
6891,SNX2,594.9309367,0.189211395,0.084867037,2.229503965,0.025780392,0.277384065
6892,AGRV1,0.040488396,-0.280624266,3.801740735,-0.073814677,0.941157848,0.995498338
6893,YR811,2.913931441,-1.110582879,0.940469443,-1.180881406,0.237649839,0.678438394
6894,STX6,22.80991965,0.033001712,0.244803109,0.134809202,0.89276273,0.988816726
6895,AP2A,1.502662686,-2.119280668,1.023137933,-2.071353823,0.038325743,0.324380477
6896,NHP2,86.24965742,-0.425319848,0.166408199,-2.555882761,0.01059188,0.182589203
6897,RL18A,5971.39235,-0.372136522,0.145436983,-2.558747541,0.010505,0.181779257
6898,S13A5,0,NA,NA,NA,NA,NA
6899,S13A5,2.383234283,-0.883574328,1.04306403,-0.847095003,0.39694217,0.80949023
6900,S13A5,14.9410078,0.853198942,0.916078964,0.931359604,0.351667579,0.777767862
6901,S13A5,295.4514131,-0.252355875,0.162161529,-1.556200637,0.11966039,0.521336891
6902,S13A5,20.72002042,-0.769420087,0.258693347,-2.974255405,0.002937005,0.097969451
6903,S13A5,7.029375706,0.24800656,0.909517073,0.272679389,0.78509968,0.97354201
6904,RPE65,0.208034631,-0.207078179,3.293418626,-0.062876361,0.949864959,0.996178949
6905,ACOX,1.214063855,-0.561484559,1.266685205,-0.443270796,0.657569877,0.934263977
6906,RAB6,350.1401032,0.07718927,0.146132276,0.528215069,0.597350072,0.913376873
6907,RTBS,0.242184644,0.513049118,2.761803511,0.185765974,0.852628289,0.982602666
6908,RPAC1,136.8078849,0.045252273,0.175513493,0.257827889,0.79653974,0.976817458
6909,PRPE,53.49143809,-0.510527774,0.20578342,-2.480898477,0.013105169,0.204710507
6910,SP8,0.454591048,-2.066720382,2.070571567,-0.998140038,0.318211458,0.754039434
6911,SC6A2,0.075829723,-0.280627568,3.801740735,-0.073815546,0.941157157,0.995498338
6912,ITPR1,330.4054169,0.518169127,0.418573823,1.23793964,0.215738443,0.653301804
6913,ITPR1,316.5722161,0.513233887,0.465716186,1.102031456,0.270447996,0.70973777
6914,ITPR1,137.3437947,-0.026341116,1.192606781,-0.022087009,0.98237855,0.998211455
6915,FCN2,3.245593227,-1.298090985,0.998919829,-1.299494662,0.193774224,0.629468545
6916,FBCD1,295.7838981,-0.824717943,0.422650307,-1.951300944,0.051021257,0.369936467
6917,RIC8A,298.0578433,0.122883318,0.081034211,1.516437512,0.12940876,0.539377303
6918,HUTI,0.50957487,1.003749617,1.380965784,0.726846116,0.467320229,0.850686499
6919,FIBG,0.338346135,-1.948844198,3.788670779,-0.514387317,0.606981225,0.917011198
6920,HIL,447.5506871,0.061177183,0.088781095,0.689078935,0.490773595,0.863363334
6921,DMC1,0.135057264,-1.115142094,3.799274186,-0.293514508,0.769128912,0.97005325
6922,PDCD2,57.93822723,0.100282137,0.407181056,0.246283896,0.805462475,0.977412294
6923,MSOX,18.13912721,-0.842971416,0.614737258,-1.371271066,0.170290472,0.600546706
6924,HMCN1,0,NA,NA,NA,NA,NA
6925,POL3,30.57387342,2.967150626,0.820660395,3.615564544,0.000299694,0.023977715
6926,S26A1,0.873046466,0.233784451,1.125128089,0.207784743,0.835397046,0.980372959
6927,DECR2,102.0297014,-0.118723448,0.136425857,-0.870241541,0.384168419,0.799610219
6928,DECR2,30.03549856,-0.121935537,0.353632057,-0.344809061,0.730237921,0.959689879
6929,UBCD1,139.800781,0.375349242,0.172220417,2.179470052,0.029296767,0.291182181
6930,UBCD1,1814.968453,-0.018712685,0.124876823,-0.149849146,0.880883634,0.988133564
6931,PMYT1,113.5636167,0.217343002,0.163996629,1.325289448,0.185075168,0.618686368
6932,SIR2,117.7496744,-0.149810877,0.144941304,-1.033596866,0.301324665,0.737931473
6933,ITIH6,83.29585018,-0.304356586,0.142953438,-2.129060973,0.033249216,0.306538821
6934,TEF,560.8311358,0.287295673,0.176763514,1.625310938,0.104096322,0.496203259
6935,SPHK1,40.33879294,0.146453732,0.284230321,0.515264279,0.606368357,0.91677422
6936,PRI1,26.05301969,-0.308362713,0.339915334,-0.907175057,0.364314232,0.785518499
6937,PRI1,15.16627946,0.292963735,0.568052783,0.515733298,0.606040695,0.91677422
6938,RHG12,9.402684634,-1.386901397,1.304781224,-1.062937887,0.28781012,0.725892209
6939,RHG12,40.30441571,-0.639045568,0.8765113,-0.729078527,0.465953629,0.849785635
6940,RHG12,4.082332393,1.606994866,2.55555223,0.628824896,NA,NA
6941,RHG12,21.03658388,-0.146334935,1.148033086,-0.127465782,0.898571755,0.99014672
6942,RHG12,38.32493049,0.348111565,0.738486151,0.471385366,0.637365564,0.927113285
6943,RHG12,8.910754056,0.13072587,0.496946939,0.263058004,0.792505872,0.97555845
6944,RHG12,9.589906594,-0.01627527,0.437126161,-0.037232433,0.970299679,0.998211455
6945,RHG12,29.15715606,0.823670403,1.073359608,0.767376,0.442857994,0.83836514
6946,TXND5,67.01985684,0.294511615,0.238128166,1.236777741,0.216169608,0.653756011
6947,KLH25,72.98319571,-0.325431847,0.198632913,-1.638358126,0.101347009,0.489580021
6948,ERR3,74.02135988,-0.429573283,0.273521322,-1.570529422,0.116291995,0.51479033
6949,TITIN,58.11103492,-1.219500943,0.757885792,-1.609082734,0.107598252,0.498360779
6950,TITIN,44.36726751,0.521804077,0.655983888,0.795452582,0.426350284,0.829407475
6951,SMTL1,89.40245711,0.440283281,0.279964817,1.572637896,0.115802688,0.514409726
6952,TITIN,970.7594178,0.018478042,0.179072277,0.103187618,0.917814067,0.994504978
6953,TITIN,39.21421206,1.551322984,0.776159337,1.998717159,0.045638965,0.34904552
6954,TITIN,31.93198323,1.857413218,1.287487875,1.442664629,0.149114968,0.571422893
6955,TITIN,284.248211,0.019848233,0.313641775,0.063283128,0.94954105,0.996091649
6956,HTAI2,120.3479516,0.058440862,0.176583424,0.330953274,0.740679781,0.963372466
6957,STK,7.891133177,6.630889519,3.683827126,1.800000188,0.071860609,0.428869176
6958,DCXR,19.87363929,-0.480523554,0.490547843,-0.979565114,0.327300832,0.759069061
6959,STK,107.9881504,1.160675586,0.955810457,1.214336564,0.224619229,0.663717914
6960,STK,35.99821358,-0.368939165,1.242634166,-0.29690087,0.766542192,0.969228211
6961,FUT10,57.60833032,0.024514141,0.210339218,0.116545746,0.907220033,0.990571706
6962,MOT14,48.6166264,-0.379215622,0.292328129,-1.297225904,0.19455347,0.630256737
6963,MOT14,6.375038928,1.099928951,0.979353008,1.123117958,0.2613874,0.69987156
6964,GALT7,0.132363523,-0.440910277,3.801740735,-0.115975893,0.907671647,0.990571706
6965,GLT10,0,NA,NA,NA,NA,NA
6966,SYIM,80.78380067,-0.117409407,0.150208793,-0.78164137,0.434425367,0.833330531
6967,FA8,21.91060326,0.243701181,0.579899273,0.420247433,0.674304707,0.939485584
6968,FA8,2.272673503,1.359578359,0.727828837,1.867991883,0.061763202,0.402870584
6969,PASK,59.93651319,0.357131427,0.21853276,1.634223749,0.102211878,0.491192317
6970,CTK2,37.65073334,0.11989115,0.24685791,0.485668658,0.627202109,0.92456283
6971,POL2,15.43782069,-1.073215482,0.648941063,-1.653794995,0.098169173,0.483531126
6972,POL2,19.30637625,1.557713392,0.390497068,3.989052723,6.63E-05,0.007732976
6973,CLCN6,0.679325918,-2.223552735,1.238650335,-1.795141592,0.072631144,0.430567617
6974,GIMA4,5.778147665,-21.59133827,2.984392868,-7.234750658,NA,NA
6975,CECR2,327.0370298,0.07409706,0.164184328,0.451304101,0.65177039,0.931984804
6976,BABA2,3.695917626,-1.680300773,1.609689772,-1.043866217,0.29654729,0.733650439
6977,BABA2,26.75466154,-1.280582671,1.361152687,-0.940807511,0.346803511,0.775115321
6978,BABA2,130.1937127,-0.282824118,0.339771249,-0.832395675,0.405185643,0.816282275
6979,TRI56,35.22351462,-0.128959456,0.270552806,-0.476651706,0.633610158,0.925799275
6980,PIGG,22.93907097,-0.077795664,0.314625946,-0.247263981,0.804703933,0.977412294
6981,PIGG,32.81927982,0.030742577,0.202747757,0.151629676,0.879479026,0.988016516
6982,PIGG,0.514594911,0.612415111,1.26349566,0.484699022,0.62788986,0.924709297
6983,PIGG,3.814426316,-0.048019379,1.221875452,-0.039299733,0.968651419,0.998211455
6984,BAG2,22.23920602,-0.167942019,0.183814252,-0.913650695,0.360900419,0.783396599
6985,CHI10,12.9396946,-0.400182093,0.373612161,-1.071116347,0.284117119,0.723296201
6986,CHIA,14.98769519,0.27762839,0.352448254,0.787713905,0.43086407,0.830724954
6987,PIF1,10.57678612,2.918448794,0.924786612,3.155807789,0.001600543,0.06764712
6988,L3BPA,4.475318607,1.040698452,0.921748503,1.12904816,0.258877518,0.698566564
6989,L3BPA,29.87298392,0.791723154,0.931713453,0.849749622,0.395464304,0.807996328
6990,L3BPA,21.01539591,-1.051864864,0.422515111,-2.48953194,0.012791142,0.203018092
6991,EXOS8,89.96822862,-0.376467406,0.175871598,-2.140581029,0.03230784,0.30227876
6992,HS12B,1.733581549,0.141963284,1.656891328,0.085680504,0.931720401,0.995498338
6993,HS12A,26.62267785,-0.923393763,1.183504242,-0.780220071,0.43526135,0.833941922
6994,GLIS3,3234.89248,0.015554341,0.083901061,0.185389082,0.852923872,0.982696882
6995,BYST,60.29806318,-0.261472332,0.197017615,-1.327152054,0.184458389,0.618191134
6996,RT12,51.62903222,-0.338357438,0.21954479,-1.541177258,0.123273651,0.528225158
6997,YM54,53.17365564,0.118425232,0.262663422,0.450863052,0.652088255,0.932061381
6998,YM54,2.682454828,-0.292018706,1.305589199,-0.223668139,0.823015539,0.980372959
6999,SYAP1,11.48273947,1.314597632,0.750661594,1.751252018,0.079902509,0.445358919
7000,SYAP1,3.744103176,0.046987694,0.994759296,0.04723524,0.962325742,0.99806125
7001,SYAP1,9.079619631,-0.225068635,0.77741156,-0.289510275,0.772190918,0.970667935
7002,RBBP6,296.31298,-0.104242392,0.128267516,-0.812695181,0.416392845,0.822467857
7003,DZIP3,134.4105328,0.051903537,0.522374226,0.099360832,0.920851781,0.994815266
7004,DIAC,134.3585126,0.031772281,0.148164011,0.214439939,0.830203999,0.980372959
7005,DZIP3,1671.830848,0.200204746,0.1754512,1.141085076,0.253834521,0.692891866
7006,DZIP3,296.9347581,0.291257375,0.347377339,0.838446674,0.401779885,0.813692459
7007,CD109,40.70504642,0.036218437,0.312947878,0.115733128,0.90786405,0.990571706
7008,MKKS,59.72424491,0.017811224,0.214329265,0.083102155,0.933770312,0.995498338
7009,PRPE,33.90692955,0.16978685,0.187861089,0.903789339,0.366107116,0.786791009
7010,SSXT,45.44058092,0.042828006,0.204151399,0.209785512,0.833835081,0.980372959
7011,PIGP,26.55205933,-0.390195058,0.232744335,-1.676496477,0.093640986,0.47605506
7012,ERBB4,37.44569546,0.193856266,0.355840466,0.544784206,0.585901942,0.907460595
7013,SRR,261.9444079,0.04610881,0.145349679,0.317226776,0.751071534,0.966616783
7014,SRR,105.4337691,-0.541560969,1.055880153,-0.512900037,0.608021248,0.917312648
7015,SRR,34.66975618,-0.206649744,0.302438343,-0.68327892,0.494430612,0.864675313
7016,SRR,22.45626778,-1.844859131,1.26364634,-1.459948938,0.144304108,0.564052942
7017,BMPER,7.160981448,1.171091733,0.791496902,1.47959105,0.138982416,0.555115641
7018,BMPER,16.00812191,-0.203763093,0.457208266,-0.445667999,0.655837084,0.934103636
7019,KCP,0.41653444,0.153251432,2.310172511,0.066337657,0.947109003,0.995507377
7020,BMPER,52.90153051,0.208982765,0.28627831,0.729998598,0.465391042,0.84941788
7021,S26A1,331.7443869,-0.280477149,0.15613195,-1.796410976,0.07242918,0.429778181
7022,ST1C3,23.78765772,-0.162923842,0.892352028,-0.182577992,0.855129154,0.983034868
7023,ST1C3,4.053929171,-2.088889226,1.565675823,-1.334177354,0.182145739,0.614673864
7024,ST1B1,105.3394299,-0.390611556,0.180049706,-2.169465113,0.03004739,0.293875233
7025,ST1E1,4.257127178,-0.474167019,0.878846296,-0.539533502,0.589518787,0.909164688
7026,ACHA9,80.74938652,-0.02918511,0.131512129,-0.221919533,0.824376525,0.980372959
7027,CS044,53.12108778,0.417204431,0.239408248,1.742648526,0.081395028,0.449976287
7028,CS044,205.8994127,0.301535686,0.134876938,2.23563561,0.02537565,0.275701458
7029,LPP60,112.9034197,0.369923505,0.445178216,0.83095599,0.405998492,0.816756335
7030,LPP60,7.146196788,-0.579888056,2.149606231,-0.269764782,0.787341218,0.974324085
7031,LPP60,71.11812706,0.58101959,0.497020682,1.169004853,0.242401676,0.683525809
7032,AKR,44.15555082,0.430724238,0.212414917,2.027749482,0.042585823,0.338469871
7033,HS12B,0.226930701,-0.200473276,3.801740735,-0.052731969,0.957945467,0.997132192
7034,HS12B,23.83068947,-0.118125494,1.290704929,-0.091520138,0.927079305,0.995498338
7035,HS12B,22.72361875,-0.932562988,1.052808191,-0.88578622,0.375732737,0.792803624
7036,BRD2,1768.085228,-0.02845026,0.062241032,-0.457098138,0.647600509,0.929762563
7037,BRD2,1047.55054,0.321168233,0.149111058,2.15388608,0.031249107,0.298214408
7038,RAH1A,9.317786437,-0.938851744,0.328257878,-2.860104224,0.004235018,0.118602688
7039,PUF60,1508.54151,-0.27873303,0.126969644,-2.195272998,0.028144021,0.288619706
7040,YTX2,4.225251199,-3.491544212,1.793848405,-1.946398705,NA,NA
7041,YTX2,50.52277248,-2.046939645,1.455903776,-1.405958058,0.15973658,0.585394971
7042,YTX2,218.9946465,0.782280477,0.853199001,0.91687927,0.359205908,0.7820366
7043,CHST9,8.627948832,-0.498386069,0.430364945,-1.158054517,0.246841789,0.687251508
7044,NUBPL,76.88418408,-0.365695643,0.175941061,-2.078512207,0.037662208,0.322254139
7045,GP180,5.112385669,0.915067887,1.533324165,0.596786973,0.550649617,0.88908184
7046,GP180,17.04680566,-0.272005157,1.436076848,-0.189408497,0.849772666,0.981867752
7047,GP180,9.214265936,-0.827197791,1.503284749,-0.550260217,0.582140907,0.905190702
7048,GP180,3.437644294,-4.773605403,2.757605627,-1.731068923,0.083439472,0.453931479
7049,EPDR1,8.126714658,-0.955552619,1.192962036,-0.800991641,0.423136485,0.826308937
7050,I5P1,300.8585515,0.092404353,0.444590027,0.207841714,0.835352561,0.980372959
7051,I5P1,164.392155,0.130103069,0.7323134,0.177660369,0.858989711,0.984062387
7052,GELS2,1317.520175,0.119611074,0.121691814,0.98290156,0.32565589,0.758126783
7053,GELS1,123.9714523,-0.175701878,0.280953311,-0.625377497,0.531723328,0.882032512
7054,TPC1,0.952083072,-2.629104486,2.183707459,-1.203963688,0.228603614,0.667657111
7055,TPC1,71.31915063,0.368064755,0.175245131,2.1002852,0.03570376,0.315713268
7056,ACH92,462.569382,0.194718246,0.223063223,0.872928505,0.382702048,0.798210992
7057,SIVA,102.1199965,0.003642656,0.151808652,0.023995046,0.98085656,0.998211455
7058,ISPD,22.03186282,-0.078625629,0.320409892,-0.245390766,0.806153878,0.977412294
7059,HINT1,339.4808163,-0.456534569,0.158664664,-2.877355034,0.004010241,0.115779028
7060,CSN2,67.17949156,0.172532942,2.00748052,0.085945014,0.931510128,0.995498338
7061,CSN2,259.8997381,-0.068695673,0.425255474,-0.161539774,0.871668288,0.986564885
7062,CSN2,67.19725543,-0.308054596,0.928733844,-0.331693087,0.740121021,0.963372466
7063,PNMA1,2.060087473,-0.225496809,0.82654422,-0.272818808,0.784992501,0.973526337
7064,LECE,54.48755217,0.446793207,0.286716836,1.558308239,0.119160197,0.519949967
7065,RIPB,0.549167456,-0.959797676,1.895496073,-0.506356985,0.612606066,0.918961866
7066,RIPB,21.43706266,-0.322174844,0.229734729,-1.402377625,0.160802511,0.587051279
7067,SO2B1,749.303645,0.332103241,0.236552407,1.403930934,0.160339417,0.586648538
7068,LYPA2,126.287996,0.127783499,0.200645305,0.636862641,0.524214319,0.878878244
7069,GT253,1.35098679,4.1627653,1.455086653,2.860836701,0.004225246,0.118514604
7070,PAA1,14.21491069,-1.577437359,1.031293124,-1.529572263,0.126122639,0.533992234
7071,PAA1,12.6358288,2.105453909,1.315109081,1.600972831,0.109382937,0.502091821
7072,ZN862,2.003205828,0.249613536,0.572368919,0.436106029,0.662759803,0.93633982
7073,FCN2,8.703966138,0.692197401,0.570302389,1.213737509,0.224847976,0.663918537
7074,CP17A,159.9712941,-0.416412019,0.178261396,-2.335962972,0.019493171,0.24186409
7075,SAMTR,9.35912164,0.753132543,0.430769646,1.748341719,0.080404873,0.446895274
7076,SAMTR,32.41432116,0.358119573,0.589097751,0.607911968,0.543245861,0.886022131
7077,POL3,13.67635442,-0.093240366,0.663418233,-0.140545377,0.888229102,0.988562255
7078,DPO3,1.902787126,-0.134522867,1.256764282,-0.107039059,0.914757993,0.993626712
7079,TRPM2,9.770161518,1.438935103,0.741762183,1.939887388,0.052393377,0.374642081
7080,TRPM3,68.9799939,0.050244194,0.290249061,0.173107172,0.862567188,0.984408274
7081,MRP1,15.80613647,0.266992315,0.224342797,1.190108703,0.23400367,0.674086305
7082,LRP1,1.096450875,-1.24086897,0.982393067,-1.263108435,0.206550213,0.643550382
7083,IRG1,33.30428039,0.086821978,0.276752304,0.313717272,0.753735781,0.967311843
7084,POL3,1.156734288,-1.622028526,1.650018607,-0.983036506,0.325589472,0.758126783
7085,PAR14,60.30498281,-0.204062721,0.669146102,-0.304959889,0.760396702,0.967792442
7086,AMPN,669.8851356,-0.343202063,0.215447438,-1.592973515,0.111166133,0.505312742
7087,MMP19,0.253262729,0.336656256,1.836530535,0.183311004,0.854554001,0.983034868
7088,MKX,27.37611601,-0.909095221,0.878958674,-1.034286649,0.301002177,0.737749091
7089,MKX,810.4660934,-0.368203508,0.171217915,-2.150496386,0.031515972,0.299180952
7090,MKX,36.04996603,0.146208837,0.280296552,0.521621961,0.60193357,0.915366606
7091,MKX,449.7237086,-0.352346274,0.145942551,-2.414280631,0.015766314,0.220934952
7092,KMT2E,393.0664603,0.029184795,0.288756204,0.10107071,0.919494329,0.994585983
7093,KMT2E,726.7041158,0.156722427,0.154974018,1.011281951,0.311881502,0.747716893
7094,EFTS,37.24283691,0.679375503,1.936898713,0.350754275,0.725772704,0.958098584
7095,EFTS,146.8243205,-0.520541771,0.373914374,-1.392141642,0.16387951,0.59161431
7096,PX11A,41.65470493,0.16821822,0.819299242,0.205319634,0.837322405,0.980372959
7097,PX11A,39.74143367,0.501385762,0.735241004,0.681933895,0.495280752,0.865081386
7098,NOMO1,101.4529824,0.146784576,0.156572252,0.937487798,0.348507697,0.776087657
7099,FRS2,45.35421497,-0.051782111,0.200501243,-0.258263293,0.796203714,0.976817117
7100,AR13B,53.76013102,0.024988612,0.248865422,0.100410142,0.920018718,0.994815266
7101,TM41B,4.645983783,0.865809696,0.628722371,1.377093827,0.168483241,0.597826055
7102,TM41B,56.05613524,0.531317847,0.339452426,1.565220355,0.11753125,0.516794275
7103,TM41B,9.07857245,1.5406206,0.981074183,1.570340579,0.116335899,0.514879557
7104,TM41B,16.17523082,-0.99190683,0.475993184,-2.083867719,0.037172201,0.320336912
7105,ZASP,81.23334554,0.012387841,0.203229015,0.060955082,0.951394982,0.996252979
7106,RUNX1,502.5292225,-0.008244645,0.167591154,-0.049194988,0.960763905,0.997909119
7107,DNJB4,128.6873112,0.227508876,0.193853543,1.173612164,0.240550407,0.680800668
7108,RNF25,58.67197491,0.407198785,0.16771517,2.427918627,0.01518575,0.216332084
7109,ROR1,0.132953495,-1.215409458,3.800804525,-0.319776892,0.749137466,0.966048649
