sample_no,heating_rate,tidal_height,time_point,experimental_day,sex,shell_length,average_weight,weight_before,weight_after,weight_loss,weight_loss_percent,osmolality,heart_rate,average_temp,temp_sd
164,C,L,,14/09/2020,F,36.5,,,,0,#DIV/0!,,,27.3,0.722496185
165,C,H,T0_air,14/09/2020,F,40.6,,,,0,#DIV/0!,,,27.4,0.445430355
166,C,H,T0_air,14/09/2020,F,35.5,,,,0,#DIV/0!,,,28.4,0.54316183
167,C,L,T0_air,14/09/2020,F,35.1,,,,0,#DIV/0!,,,27.5,0.543988991
168,C,L,T0_air,14/09/2020,F,35.8,,,,0,#DIV/0!,,,26.9,0.39499845
169,C,H,T0_water,14/09/2020,M,39.1,,,,0,#DIV/0!,,,27.4,0.58928955
170,C,H,T0_water,14/09/2020,F,37.8,,,,0,#DIV/0!,,,28.3,0.455426687
171,C,L,T0_water,14/09/2020,M,36,,,,0,#DIV/0!,,,27.3,0.317617354
172,C,L,T0_water,14/09/2020,M,43.6,,,,0,#DIV/0!,,,27.3,0.36407434
173,C,H,T2_ M,14/09/2020,M,41.4,,,,0,#DIV/0!,,,27.6,0.360276243
174,C,H,T2_F,14/09/2020,F,39.5,,,,0,#DIV/0!,,,27.1,0.775968201
175,C,H,T2_F,14/09/2020,F,40.2,,,,0,#DIV/0!,,,27.4,0.296922584
176,C,L,T2_F,14/09/2020,M,35.5,,,,0,#DIV/0!,,,28.4,0.437608915
177,C,L,T2_F,14/09/2020,F,35.9,,,,0,#DIV/0!,,,28.1,0.470212739
178,C,H,T2_M,14/09/2020,F,38.8,,,,0,#DIV/0!,,,26.9,0.51535063
179,C,L,T2_M,14/09/2020,F,38.2,,,,0,#DIV/0!,,,28,0.546084971
180,C,L,T2_M,14/09/2020,M,36.8,,,,0,#DIV/0!,,,28.9,0.937272426
181,C,H,T2_S,14/09/2020,F,40.6,,,,0,#DIV/0!,,,27,0.227595026
182,C,H,T2_S,14/09/2020,F,40.7,,,,0,#DIV/0!,,,27.3,0.278241444
183,C,L,T2_S,14/09/2020,F,39,,,,0,#DIV/0!,,,27.7,0.383990562
184,C,L,T2_S,14/09/2020,M,39.9,,,,0,#DIV/0!,,,27.6,0.450706515
185,F,H,,14/09/2020,,38.3,,,,0,#DIV/0!,,,,
186,F,L,,14/09/2020,,38.9,,,,0,#DIV/0!,,,,
187,F,H,T1,14/09/2020,F,45,,,,0,#DIV/0!,,,33.3,0.898424621
188,F,H,T1,14/09/2020,F,37.9,,,,0,#DIV/0!,,,32.6,0.916467388
189,F,H,T1,14/09/2020,F,36.7,,,,0,#DIV/0!,,,32.2,1.056068359
190,F,H,T1,14/09/2020,F,35.9,,,,0,#DIV/0!,,,33.4,1.328382079
191,F,L,T1,14/09/2020,M,40,,,,0,#DIV/0!,,,34.9,1.20145937
192,F,L,T1,14/09/2020,M,40.9,,,,0,#DIV/0!,,,32.5,1.038892925
193,F,L,T1,14/09/2020,F,41,,,,0,#DIV/0!,,,34.2,1.152848709
194,F,L,T1,14/09/2020,F,38.3,,,,0,#DIV/0!,,,34.9,0.904356984
195,F,H,T2,14/09/2020,F,40,,,,0,#DIV/0!,,,35.8,1.06117798
196,F,H,T2,14/09/2020,M,40.2,,,,0,#DIV/0!,,,34.4,0.737187741
197,F,H,T2,14/09/2020,F,40.2,,,,0,#DIV/0!,,,33.7,1.046466355
198,F,H,T2,14/09/2020,F,41.6,,,,0,#DIV/0!,,,35.7,1.052710509
199,F,L,T2,14/09/2020,M,44.9,,,,0,#DIV/0!,,,36,1.201282666
200,F,L,T2,14/09/2020,F,37,,,,0,#DIV/0!,,,34.2,1.197817703
201,F,L,T2,14/09/2020,M,40.2,,,,0,#DIV/0!,,,35.9,1.306857532
202,F,L,T2,14/09/2020,F,35.9,,,,0,#DIV/0!,,,35.9,1.065142391
203,M,H,,14/09/2020,,36.4,,,,0,#DIV/0!,,,,
204,M,L,,14/09/2020,,42.2,,,,0,#DIV/0!,,,,
205,M,H,T1,14/09/2020,F,37.2,,,,0,#DIV/0!,,,32.6,1.289847488
206,M,H,T1,14/09/2020,F,36.6,,,,0,#DIV/0!,,,36.2,1.48288043
207,M,H,T1,14/09/2020,F,44.5,,,,0,#DIV/0!,,,34.8,1.139001402
208,M,H,T1,14/09/2020,F,38.9,,,,0,#DIV/0!,,,34.3,1.337500565
209,M,L,T1,14/09/2020,M,44,,,,0,#DIV/0!,,,34.6,0.845114609
210,M,L,T1,14/09/2020,F,35.7,,,,0,#DIV/0!,,,34.5,1.104423083
211,M,L,T1,14/09/2020,F,40,,,,0,#DIV/0!,,,33.6,0.769829843
212,M,L,T1,14/09/2020,M,37.1,,,,0,#DIV/0!,,,33.7,0.803583123
213,M,H,T2,14/09/2020,F,41.8,,,,0,#DIV/0!,,,34.6,1.080906972
214,M,H,T2,14/09/2020,F,48.7,,,,0,#DIV/0!,,,36.2,1.107838232
215,M,H,T2,14/09/2020,F,37.1,,,,0,#DIV/0!,,,36.8,0.998467128
216,M,H,T2,14/09/2020,M,38.6,,,,0,#DIV/0!,,,36.3,1.164236024
217,M,L,T2,14/09/2020,F,41.9,,,,0,#DIV/0!,,,33.4,1.269211704
218,M,L,T2,14/09/2020,M,40.7,,,,0,#DIV/0!,,,36.5,1.253080729
219,M,L,T2,14/09/2020,F,41.2,,,,0,#DIV/0!,,,33.6,0.996840797
220,M,L,T2,14/09/2020,M,38.1,,,,0,#DIV/0!,,,37.3,0.987915569
221,S,H,,14/09/2020,,37.2,,,,0,#DIV/0!,,,,
222,S,L,,14/09/2020,,41.9,,,,0,#DIV/0!,,,,
223,S,H,T1,14/09/2020,F,35.5,,,,0,#DIV/0!,,,37.6,1.132231768
224,S,H,T1,14/09/2020,M,41,,,,0,#DIV/0!,,,35.7,1.089882856
225,S,H,T1,14/09/2020,F,39.6,,,,0,#DIV/0!,,,35.5,1.440232768
226,S,H,T1,14/09/2020,M,37.6,,,,0,#DIV/0!,,,38.4,0.895468002
227,S,L,T1,14/09/2020,M,40.3,,,,0,#DIV/0!,,,36.7,1.004875926
228,S,L,T1,14/09/2020,F,40.4,,,,0,#DIV/0!,,,37.6,1.331513356
229,S,L,T1,14/09/2020,M,38.7,,,,0,#DIV/0!,,,37,1.226697578
230,S,L,T1,14/09/2020,M,38.4,,,,0,#DIV/0!,,,37.3,1.480065221
231,S,H,T2,14/09/2020,M,35.8,,,,0,#DIV/0!,,,36,0.966369527
232,S,H,T2,14/09/2020,F,41.7,,,,0,#DIV/0!,,,36,1.208036699
233,S,H,T2,14/09/2020,F,36.2,,,,0,#DIV/0!,,,36.8,1.15234896
234,S,H,T2,14/09/2020,F,41.8,,,,0,#DIV/0!,,,36.6,1.285578818
235,S,L,T2,14/09/2020,F,44.1,,,,0,#DIV/0!,,,36.7,1.309898572
236,S,L,T2,14/09/2020,F,40.7,,,,0,#DIV/0!,,,37.4,0.938226524
237,S,L,T2,14/09/2020,M,36.1,,,,0,#DIV/0!,,,37.5,1.198437805
238,S,L,T2,14/09/2020,M,39.7,,,,0,#DIV/0!,,,38.6,1.076606179
