"","diff","lwr","upr","p.adj"
"M:L:T0-M:H:T0",NA,NA,NA,NA
"S:L:T0-M:H:T0",NA,NA,NA,NA
"C_air:H:T1-M:H:T0",NA,NA,NA,NA
"C_water:H:T1-M:H:T0",NA,NA,NA,NA
"F:H:T1-M:H:T0",NA,NA,NA,NA
"M:H:T1-M:H:T0",NA,NA,NA,NA
"S:H:T1-M:H:T0",NA,NA,NA,NA
"C_air:L:T1-M:H:T0",NA,NA,NA,NA
"C_water:L:T1-M:H:T0",NA,NA,NA,NA
"F:L:T1-M:H:T0",NA,NA,NA,NA
"M:L:T1-M:H:T0",NA,NA,NA,NA
"S:L:T1-M:H:T0",NA,NA,NA,NA
"C_air:H:T2-M:H:T0",NA,NA,NA,NA
"C_water:H:T2-M:H:T0",NA,NA,NA,NA
"F:H:T2-M:H:T0",NA,NA,NA,NA
"M:H:T2-M:H:T0",NA,NA,NA,NA
"S:H:T2-M:H:T0",NA,NA,NA,NA
"C_air:L:T2-M:H:T0",NA,NA,NA,NA
"C_water:L:T2-M:H:T0",NA,NA,NA,NA
"F:L:T2-M:H:T0",NA,NA,NA,NA
"M:L:T2-M:H:T0",NA,NA,NA,NA
"S:L:T2-M:H:T0",NA,NA,NA,NA
"C_air:L:T0-S:H:T0",NA,NA,NA,NA
"C_water:L:T0-S:H:T0",NA,NA,NA,NA
"F:L:T0-S:H:T0",NA,NA,NA,NA
"M:L:T0-S:H:T0",NA,NA,NA,NA
"S:L:T0-S:H:T0",NA,NA,NA,NA
"C_air:H:T1-S:H:T0",NA,NA,NA,NA
"C_water:H:T1-S:H:T0",NA,NA,NA,NA
"F:H:T1-S:H:T0",NA,NA,NA,NA
"M:H:T1-S:H:T0",NA,NA,NA,NA
"S:H:T1-S:H:T0",NA,NA,NA,NA
"C_air:L:T1-S:H:T0",NA,NA,NA,NA
"C_water:L:T1-S:H:T0",NA,NA,NA,NA
"F:L:T1-S:H:T0",NA,NA,NA,NA
"M:L:T1-S:H:T0",NA,NA,NA,NA
"S:L:T1-S:H:T0",NA,NA,NA,NA
"C_air:H:T2-S:H:T0",NA,NA,NA,NA
"C_water:H:T2-S:H:T0",NA,NA,NA,NA
"F:H:T2-S:H:T0",NA,NA,NA,NA
"M:H:T2-S:H:T0",NA,NA,NA,NA
"S:H:T2-S:H:T0",NA,NA,NA,NA
"C_air:L:T2-S:H:T0",NA,NA,NA,NA
"C_water:L:T2-S:H:T0",NA,NA,NA,NA
"F:L:T2-S:H:T0",NA,NA,NA,NA
"M:L:T2-S:H:T0",NA,NA,NA,NA
"S:L:T2-S:H:T0",NA,NA,NA,NA
"C_water:L:T0-C_air:L:T0",-0.0208044823333337,-0.523951386537197,0.482342421870529,1
"F:L:T0-C_air:L:T0",NA,NA,NA,NA
"M:L:T0-C_air:L:T0",NA,NA,NA,NA
"S:L:T0-C_air:L:T0",NA,NA,NA,NA
"C_air:H:T1-C_air:L:T0",NA,NA,NA,NA
"C_water:H:T1-C_air:L:T0",NA,NA,NA,NA
"F:H:T1-C_air:L:T0",0.678099256749999,0.207448424063293,1.14875008943671,0.000252579799479125
"M:H:T1-C_air:L:T0",0.94057111625,0.469920283563294,1.41122194893671,1.59524462528537e-07
"S:H:T1-C_air:L:T0",0.7677174935,0.297066660813294,1.23836832618671,2.06329042463649e-05
"C_air:L:T1-C_air:L:T0",NA,NA,NA,NA
"C_water:L:T1-C_air:L:T0",NA,NA,NA,NA
"F:L:T1-C_air:L:T0",0.702653142,0.232002309313294,1.17330397468671,0.000127849873673203
"M:L:T1-C_air:L:T0",0.5090013095,0.0383504768132942,0.979652142186706,0.0207850050039536
"S:L:T1-C_air:L:T0",0.88905166525,0.418400832563294,1.35970249793671,6.74460752247974e-07
"C_air:H:T2-C_air:L:T0",NA,NA,NA,NA
"C_water:H:T2-C_air:L:T0",NA,NA,NA,NA
"F:H:T2-C_air:L:T0",0.602649291249999,0.131998458563293,1.07330012393671,0.00195263865080275
"M:H:T2-C_air:L:T0",0.716125734,0.245474901313294,1.18677656668671,8.78069371598178e-05
"S:H:T2-C_air:L:T0",0.781347146,0.310696313313294,1.25199797868671,1.40507421032554e-05
"C_air:L:T2-C_air:L:T0",NA,NA,NA,NA
"C_water:L:T2-C_air:L:T0",NA,NA,NA,NA
"F:L:T2-C_air:L:T0",0.821038717999999,0.350387885313293,1.29168955068671,4.58338838715822e-06
"M:L:T2-C_air:L:T0",0.75502584475,0.284375012063294,1.22567667743671,2.94946800906137e-05
"S:L:T2-C_air:L:T0",0.759055915,0.288405082313294,1.22970674768671,2.63324566446288e-05
"F:L:T0-C_water:L:T0",NA,NA,NA,NA
"M:L:T0-C_water:L:T0",NA,NA,NA,NA
"S:L:T0-C_water:L:T0",NA,NA,NA,NA
"C_air:H:T1-C_water:L:T0",NA,NA,NA,NA
"C_water:H:T1-C_water:L:T0",NA,NA,NA,NA
"F:H:T1-C_water:L:T0",0.698903739083333,0.228252906396627,1.16955457177004,0.000141906959789773
"M:H:T1-C_water:L:T0",0.961375598583334,0.490724765896628,1.43202643127004,8.9445396311838e-08
"S:H:T1-C_water:L:T0",0.788521975833333,0.317871143146627,1.25917280852004,1.14762101909305e-05
"C_air:L:T1-C_water:L:T0",NA,NA,NA,NA
"C_water:L:T1-C_water:L:T0",NA,NA,NA,NA
"F:L:T1-C_water:L:T0",0.723457624333333,0.252806791646627,1.19410845702004,7.1532195167312e-05
"M:L:T1-C_water:L:T0",0.529805791833334,0.059154959146628,1.00045662452004,0.0125827992004433
"S:L:T1-C_water:L:T0",0.909856147583333,0.439205314896627,1.38050698027004,3.76287167869194e-07
"C_air:H:T2-C_water:L:T0",NA,NA,NA,NA
"C_water:H:T2-C_water:L:T0",NA,NA,NA,NA
