sample_no,heating_rate,tidal_height,time_point,experimental_day,sex,shell_length,average_weight,weight_before,weight_after,weight_loss,weight_loss_percent,osmolality,heart_rate,average_temp,temp_sd
27,M,L,T2,31/08/2020,M,37.5,6.6925,6.715,6.67,0.045,0.006701,1000.0,0.31914783,,
62,F,L,T1,01/09/2020,M,36.6,6.252,6.274,6.23,0.044,0.007013,979.0,0.3861334018,,
97,F,L,T1,02/09/2020,M,38.3,6.1,6.122,6.078,0.044,0.007187,1053.0,0.182750898,,
7,C_air,L,T0,31/08/2020,M,43.3,7.941,7.962,7.92,0.042,0.005275,924.0,0.1818443716,,
96,F,L,T1,02/09/2020,F,38.1,6.212,6.232,6.192,0.04,0.006418,1078.0,0.2511429253,,
123,M,H,T1,16/09/2020,F,40.7,6.909,6.936,6.882,0.054,0.007785,985.0,0.2615167592,,
156,C_air,L,T0,16/09/2020,M,38,8.139,8.166,8.112,0.054,0.006613,959.0,0.1759014952,26.1,0.176221624
125,M,L,T2,16/09/2020,M,36.5,5.2635,5.291,5.236,0.055,0.010395,976.0,0.2297591407,,
116,F,L,T1,16/09/2020,M,42.1,10.523,10.559,10.487,0.072,0.006819,971.0,0.2509713251,,
128,M,L,T1,16/09/2020,M,36.4,6.146,6.182,6.11,0.072,0.011647,936.0,0.2477830686,,
29,M,L,T1,31/08/2020,F,35.9,5.9545,5.97,5.939,0.031,0.005193,939.0,,,
69,C_air,H,T0,02/09/2020,F,40.5,7.078,7.092,7.064,0.028,0.003948,1072.3,,,
118,F,L,T2,16/09/2020,M,36.5,5.532,5.573,5.491,0.082,0.014714,978.0,0.3095819385,,
124,M,H,T2,16/09/2020,F,39.6,5.6675,5.715,5.62,0.095,0.016623,1009.0,0.3921840809,,
112,F,H,T2,16/09/2020,F,36.8,8.2445,8.292,8.197,0.095,0.011457,,0.2201403391,,
114,F,H,T2,16/09/2020,F,38.6,5.8945,5.946,5.843,0.103,0.017323,965.0,0.2518557012,,
55,F,H,T1,01/09/2020,F,44.1,8.3395,8.35,8.329,0.021,0.002515,956.0,0.2596927895,,
36,C_air,H,T0,01/09/2020,F,35.4,4.558,4.566,4.55,0.016,0.003504,946.0,,,
91,F,H,T1,02/09/2020,M,37.1,5.309,5.315,5.303,0.012,0.002258,932.7,0.4005796456,,
115,F,L,T2,16/09/2020,M,44.6,8.0605,8.114,8.007,0.107,0.013187,973.5,0.1741743193,,
127,M,L,T2,16/09/2020,F?,40,7.054,7.11,6.998,0.112,0.015752,999.0,0.3125868442,,
39,C_air,L,T0,01/09/2020,F,38.9,7.4655,7.469,7.462,0.007,0.000937,946.0,0.1738149731,,
126,M,L,T1,16/09/2020,F,37.9,7.0755,7.142,7.009,0.133,0.018622,996.0,,,
122,M,H,T2,16/09/2020,M,38.1,7.3275,7.4,7.255,0.145,0.019595,1006.0,0.3414695555,,
165,C_air,H,T0,14/09/2020,F,40.6,,,,,,,,27.4,0.445430355
166,C_air,H,T0,14/09/2020,F,35.5,,,,,,,,28.4,0.54316183
167,C_air,L,T0,14/09/2020,F,35.1,,,,,,,,27.5,0.543988991
168,C_air,L,T0,14/09/2020,F,35.8,,,,,,,,26.9,0.39499845
169,C_water,H,T0,14/09/2020,M,39.1,,,,,,,,27.4,0.58928955
170,C_water,H,T0,14/09/2020,F,37.8,,,,,,,,28.3,0.455426687
171,C_water,L,T0,14/09/2020,M,36,,,,,,,,27.3,0.317617354
172,C_water,L,T0,14/09/2020,M,43.6,,,,,,,,27.3,0.36407434
187,F,H,T1,14/09/2020,F,45,,,,,,,,33.3,0.898424621
188,F,H,T1,14/09/2020,F,37.9,,,,,,,,32.6,0.916467388
189,F,H,T1,14/09/2020,F,36.7,,,,,,,,32.2,1.056068359
190,F,H,T1,14/09/2020,F,35.9,,,,,,,,33.4,1.328382079
191,F,L,T1,14/09/2020,M,40,,,,,,,,34.9,1.20145937
192,F,L,T1,14/09/2020,M,40.9,,,,,,,,32.5,1.038892925
193,F,L,T1,14/09/2020,F,41,,,,,,,,34.2,1.152848709
194,F,L,T1,14/09/2020,F,38.3,,,,,,,,34.9,0.904356984
195,F,H,T2,14/09/2020,F,40,,,,,,,,35.8,1.06117798
196,F,H,T2,14/09/2020,M,40.2,,,,,,,,34.4,0.737187741
197,F,H,T2,14/09/2020,F,40.2,,,,,,,,33.7,1.046466355
198,F,H,T2,14/09/2020,F,41.6,,,,,,,,35.7,1.052710509
199,F,L,T2,14/09/2020,M,44.9,,,,,,,,36,1.201282666
200,F,L,T2,14/09/2020,F,37,,,,,,,,34.2,1.197817703
201,F,L,T2,14/09/2020,M,40.2,,,,,,,,35.9,1.306857532
202,F,L,T2,14/09/2020,F,35.9,,,,,,,,35.9,1.065142391
205,M,H,T1,14/09/2020,F,37.2,,,,,,,,32.6,1.289847488
206,M,H,T1,14/09/2020,F,36.6,,,,,,,,36.2,1.48288043
207,M,H,T1,14/09/2020,F,44.5,,,,,,,,34.8,1.139001402
208,M,H,T1,14/09/2020,F,38.9,,,,,,,,34.3,1.337500565
209,M,L,T1,14/09/2020,M,44,,,,,,,,34.6,0.845114609
210,M,L,T1,14/09/2020,F,35.7,,,,,,,,34.5,1.104423083
211,M,L,T1,14/09/2020,F,40,,,,,,,,33.6,0.769829843
212,M,L,T1,14/09/2020,M,37.1,,,,,,,,33.7,0.803583123
213,M,H,T2,14/09/2020,F,41.8,,,,,,,,34.6,1.080906972
214,M,H,T2,14/09/2020,F,48.7,,,,,,,,36.2,1.107838232
215,M,H,T2,14/09/2020,F,37.1,,,,,,,,36.8,0.998467128
216,M,H,T2,14/09/2020,M,38.6,,,,,,,,36.3,1.164236024
217,M,L,T2,14/09/2020,F,41.9,,,,,,,,33.4,1.269211704
218,M,L,T2,14/09/2020,M,40.7,,,,,,,,36.5,1.253080729
219,M,L,T2,14/09/2020,F,41.2,,,,,,,,33.6,0.996840797
220,M,L,T2,14/09/2020,M,38.1,,,,,,,,37.3,0.987915569
223,S,H,T1,14/09/2020,F,35.5,,,,,,,,37.6,1.132231768
224,S,H,T1,14/09/2020,M,41,,,,,,,,35.7,1.089882856
225,S,H,T1,14/09/2020,F,39.6,,,,,,,,35.5,1.440232768
226,S,H,T1,14/09/2020,M,37.6,,,,,,,,38.4,0.895468002
227,S,L,T1,14/09/2020,M,40.3,,,,,,,,36.7,1.004875926
228,S,L,T1,14/09/2020,F,40.4,,,,,,,,37.6,1.331513356
229,S,L,T1,14/09/2020,M,38.7,,,,,,,,37,1.226697578
230,S,L,T1,14/09/2020,M,38.4,,,,,,,,37.3,1.480065221
231,S,H,T2,14/09/2020,M,35.8,,,,,,,,36,0.966369527
232,S,H,T2,14/09/2020,F,41.7,,,,,,,,36,1.208036699
233,S,H,T2,14/09/2020,F,36.2,,,,,,,,36.8,1.15234896
234,S,H,T2,14/09/2020,F,41.8,,,,,,,,36.6,1.285578818
235,S,L,T2,14/09/2020,F,44.1,,,,,,,,36.7,1.309898572
236,S,L,T2,14/09/2020,F,40.7,,,,,,,,37.4,0.938226524
237,S,L,T2,14/09/2020,M,36.1,,,,,,,,37.5,1.198437805
238,S,L,T2,14/09/2020,M,39.7,,,,,,,,38.6,1.076606179
