,diff,lwr,upr,p.adj
S:T1:L-C_water:T0:L,0.046024516,-0.155023091,0.247072124,0.999999977
S:T2:H-M:T2:H,-0.035849815,-0.200004499,0.128304869,0.999999993
F:T2:H-S:T1:H,-0.03564572,-0.199800404,0.128508964,0.999999993
M:T2:H-M:T1:H,-0.028242503,-0.162274241,0.105789236,0.999999997
M:T1:L-F:T1:H,0.031171265,-0.124559543,0.186902072,0.999999999
F:T1:L-M:T2:H,-0.026583744,-0.160615482,0.107447995,0.999999999
C_air:T0:L-F:T2:H,-0.029190925,-0.179042964,0.120661114,1
S:T1:L-M:T1:L,-0.030831589,-0.194986273,0.133323096,1
F:T2:L-S:T2:H,0.029658513,-0.134496171,0.193813197,1
M:T2:H-S:T1:H,0.028658531,-0.135496153,0.192813215,1
S:T2:H-F:T2:H,0.028454436,-0.135700248,0.19260912,1
C_water:T0:L-M:T2:H,-0.032465334,-0.222014836,0.157084168,1
C_water:T0:L-F:T2:H,0.031838917,-0.157710585,0.221388419,1
C_air:T0:L-C_air:T0:H,0.01803415,-0.183013458,0.219081757,1
M:T1:H-F:T1:H,0.015022996,-0.125550677,0.155596669,1
M:T2:H-F:T1:H,-0.013219507,-0.15379318,0.127354167,1
S:T1:L-F:T1:H,0.000339676,-0.155391131,0.156070483,1
F:T2:L-F:T1:H,-0.019410808,-0.159984481,0.121162865,1
M:T1:L-M:T1:H,0.016148269,-0.133703771,0.166000308,1
S:T1:L-M:T1:H,-0.01468332,-0.164535359,0.135168719,1
S:T2:H-S:T1:H,-0.007191284,-0.196740786,0.182358218,1
C_water:T0:L-S:T1:H,-0.003806803,-0.215729589,0.208115983,1
F:T1:L-S:T1:H,0.002074787,-0.162079897,0.166229471,1
F:T2:L-S:T1:H,0.022467229,-0.141687455,0.186621913,1
M:T2:L-S:T1:H,-0.018769171,-0.182923856,0.145385513,1
S:T2:L-S:T1:H,-0.013874197,-0.191181521,0.163433126,1
M:T2:L-F:T2:H,0.016876548,-0.11715519,0.150908287,1
S:T2:L-F:T2:H,0.021771523,-0.128080517,0.171623562,1
S:T1:L-M:T2:H,0.013559182,-0.136292857,0.163411222,1
F:T2:L-M:T2:H,-0.006191302,-0.14022304,0.127840437,1
C_water:T0:L-S:T2:H,0.003384481,-0.208538305,0.215307267,1
F:T1:L-S:T2:H,0.009266071,-0.154888613,0.173420755,1
M:T2:L-S:T2:H,-0.011577888,-0.175732572,0.152576797,1
S:T2:L-S:T2:H,-0.006682914,-0.183990237,0.17062441,1
F:T1:L-C_water:T0:L,0.00588159,-0.183667912,0.195431092,1
F:T2:L-C_water:T0:L,0.026274032,-0.16327547,0.215823534,1
M:T2:L-C_water:T0:L,-0.014962368,-0.204511871,0.174587134,1
